Initials,Total_Records,Avg_Weight,StdDev_Weight,Min_Weight,Max_Weight,Avg_Z_Score,StdDev_Z_Score,Min_Z_Score,Max_Z_Score,Anomaly_Count,Anomaly_Pct
MGR,162,172.25,49.35,47,296,-0.21,1.14,-2.82,3.92,6,3.7
BG,189,182.2,45.11,93,326,0.14,0.99,-2.6,3.71,7,3.7
TDD,279,185.97,47.61,73,410,0.15,1.0,-2.15,3.83,7,2.51
TMG,271,184.89,52.42,12,433,0.12,0.97,-3.21,2.76,6,2.21
KHC,242,183.9,45.02,56,365,0.11,0.98,-2.85,2.26,4,1.65
KED,182,182.27,44.89,80,302,-0.02,1.09,-2.75,2.25,3,1.65
AWM,178,175.07,48.5,18,340,-0.2,0.99,-4.41,2.7,2,1.12
SMP,186,173.7,49.44,40,438,-0.13,1.09,-2.53,2.08,2,1.08
AMM,205,186.28,49.42,19,356,0.14,0.94,-3.32,2.3,2,0.98
Training,215,176.1,40.16,43,283,-0.06,0.9,-2.93,2.46,2,0.93
BKP,112,178.21,49.58,77,382,-0.04,0.83,-2.45,2.27,1,0.89
PJC,236,173.31,49.21,30,405,-0.06,0.9,-2.63,2.85,2,0.85
DTA,198,177.18,44.72,78,342,-0.14,0.98,-2.89,3.06,1,0.51
RPH,231,182.86,47.18,44,408,0.01,0.87,-2.34,2.1,1,0.43
AGT,70,188.37,54.14,104,416,0.01,0.79,-1.79,1.76,0,0.0
ANM,30,162.53,47.72,87,307,-0.07,0.88,-1.73,1.75,0,0.0
KMR,3,200.0,39.84,154,223,0.16,0.69,-0.64,0.56,0,0.0
tdd,1,115.0,,115,115,-2.04,,-2.04,-2.04,0,0.0
